ndc_cd,product_group,product_group_id,product_name,generic_name,brand_generic_flag,product_form,product_strength,package_size,manufacturer,cmf10,usc_code,market_id,market_desc
536482202,PRD1 ACE,158,PRD1 ACETATE,PRD1 ACETATE,G,TABLET,40 MG,250,RUGBY,1403903002,35330,XPO81015,ONC Primary
591223319,PRD2 CIT,164,PRD2 CITRATE,PRD2 CITRATE,G,TABLET,20 MG,90,ACTAVIS PHARMA,1670738003,35350,XPO81015,ONC Primary
93078210,PRD3 CIT,164,PRD3 CITRATE,PRD3 CITRATE,G,TABLET,20 MG,1000,MAYNE PHARMA,1670727005,35350,XPO81015,ONC Primary
63304060130,PRD4 CIT,164,PRD4 CITRATE,PRD4 CITRATE,G,TABLET,20 MG,30,RANBAXY PHARMACEUTICALS,1670732003,35350,XPO81015,ONC Primary
68382004001,PRD5 HCL,,PRD5 HCL,PRD5 HCL,G,TABLET,12.5 MG,100,ZYDUS PHARMACEUTICALS (USA),1482435001,17210,12204,ONC Primary
74798301,SAD CHLORIDE,,SAD CHLORIDE,SAD CHLORIDE,G,SOLUTION,0.90%,150,HOSPIRA,,60700,12204,ONC Primary
3111103,PRD6,,PRD6,GADOTERIDOL,G,,,,BRACCO DIAGNOSTICS,,40180,12204,ONC Primary
55700003090,PRD7 ACE,158,PRD7 ACETATE,PRD7 ACETATE,G,TABLET,40 MG,90,QUALITY CARE,1403934001,35330,XPO81015,ONC Primary
378827031,PRD8,,PRD8,,G,,2.5MG/3ML,,MYLAN,1016481027,28112,12204,ONC Primary
76045000903,PRD9 SYRINGE,,PRD9 SYRINGE,,G,,0.5MG/0.5ML,,FRESENIUS KABI USA,1233913007,2221,12204,ONC Primary
409263425,PRD10 HCL,,PRD10 HCL,,G,,10MG/ML,,PFIZER,1337071042,2221,12204,ONC Primary
64193032501,PRD11 NF,,PRD11 NF,,G,,2500U,,TAKEDA PHARM USA,1277467005,53550,12204,ONC Primary
61553035065,PRD12 CIT,,PRD12 CIT,,G,,500MCG/10ML,,PHARMEDIUM,1278213015,2221,12204,ONC Primary
50419018844,PRD13,,PRD13,,B,,469.01MG/ML,,BAYER HEALTHCARE PH,1395225029,40180,12204,ONC Primary
74753123,PRD14-300,,PRD14-300,PRD14,G,SOLUTION,61%,100,ABBOTT HPD,1352734001,40130,12204,ONC Primary
